Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2019,Normal value,Units,ZDHS_2023_24,Neonatal mortality rate [3.2.2],,,,"Per 1,000 live births",32.0
2022,Normal value,Units,ZDHS_2023_24,Neonatal mortality rate [3.2.2],,,,"Per 1,000 live births",9.5
2024,Normal value,Units,ZDHS_2023_24,Neonatal mortality rate [3.2.2],,,,"Per 1,000 live births",37.0
2024,Normal value,Units,ZDHS_2023_24,Neonatal mortality rate [3.2.2],,,Rural,"Per 1,000 live births",38.0
2024,Normal value,Units,ZDHS_2023_24,Neonatal mortality rate [3.2.2],,,Urban,"Per 1,000 live births",35.0
2024,Normal value,Units,ZDHS_2023_24,Neonatal mortality rate [3.2.2],,Female,,"Per 1,000 live births",32.0
2024,Normal value,Units,ZDHS_2023_24,Neonatal mortality rate [3.2.2],,Male,,"Per 1,000 live births",41.0
2022,Normal value,Units,Zimstat_2022_PHC,Neonatal mortality rate [3.2.2],ZW_BA,,,"Per 1,000 live births",8.1
2022,Normal value,Units,Zimstat_2022_PHC,Neonatal mortality rate [3.2.2],ZW_HA,,,"Per 1,000 live births",9.0
2022,Normal value,Units,Zimstat_2022_PHC,Neonatal mortality rate [3.2.2],ZW_MA,,,"Per 1,000 live births",9.2
2022,Normal value,Units,Zimstat_2022_PHC,Neonatal mortality rate [3.2.2],ZW_MC,,,"Per 1,000 live births",10.7
2022,Normal value,Units,Zimstat_2022_PHC,Neonatal mortality rate [3.2.2],ZW_ME,,,"Per 1,000 live births",11.1
2022,Normal value,Units,Zimstat_2022_PHC,Neonatal mortality rate [3.2.2],ZW_MI,,,"Per 1,000 live births",10.2
2022,Normal value,Units,Zimstat_2022_PHC,Neonatal mortality rate [3.2.2],ZW_MN,,,"Per 1,000 live births",6.0
2022,Normal value,Units,Zimstat_2022_PHC,Neonatal mortality rate [3.2.2],ZW_MS,,,"Per 1,000 live births",5.3
2022,Normal value,Units,Zimstat_2022_PHC,Neonatal mortality rate [3.2.2],ZW_MV,,,"Per 1,000 live births",9.9
2022,Normal value,Units,Zimstat_2022_PHC,Neonatal mortality rate [3.2.2],ZW_MW,,,"Per 1,000 live births",9.8
