Year,Observation status,Unit multiplier,Observation-level footnotes,Source details,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2020,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,_L_KE_161001_01,,Number,2022,105
2021,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,_L_KE_161001_01,,Number,2022,54
2022,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,_L_KE_161001_01,,Number,2022,18
2020,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,_L_KE_161001_02,,Number,2022,0
2021,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,_L_KE_161001_02,,Number,2022,0
2022,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,_L_KE_161001_02,,Number,2022,0
2020,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,_L_KE_161001_03,,Number,2022,96
2021,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,_L_KE_161001_03,,Number,2022,36
2022,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,_L_KE_161001_03,,Number,2022,12
2020,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,_L_KE_161001_04,,Number,2022,0
2021,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,_L_KE_161001_04,,Number,2022,0
2022,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,_L_KE_161001_04,,Number,2022,0
2020,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,_L_KE_161001_05,,Number,2022,6
