Year,COMMENT_OBS,REF_AREA,SEX,AGE,URBANISATION,TIME_DETAIL,Value
2009,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",72,,,U,2015,13.72255
2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",72,,,U,2015,10.60758
2009,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",72,,Y_GE65,,2015,16.47038
2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",72,,Y_GE65,,2015,14.89245
2009,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",72,,Y0T14,,2015,25.06426
2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",72,,Y0T14,,2015,21.26871
2009,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",72,,Y15T64,,2015,13.67522
2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",72,,Y15T64,,2015,12.13623
2009,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",72,F,,,2015,18.74472
2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",72,F,,,2015,15.91849
2009,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",72,M,,,2015,16.52654
2015,"Accessed March 26, 2024. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated.",72,M,,,2015,14.87288
1985,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",788,,,,2021,12.3
1990,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",788,,,,2021,8.6
1995,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",788,,,,2021,9.5
2000,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",788,,,,2021,4.4
2005,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",788,,,,2021,2.6
2010,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",788,,,,2021,1.5
2015,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",788,,,,2021,0.1
2021,"Accessed March 26, 2024. Based on data from NSHBCSL. Estimated from unit-record consumption data.",788,,,,2021,0.3
2005,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,,R,2021,6.27959
2010,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,,R,2021,3.91816
2015,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,,R,2021,0.39959
2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,,R,2021,0.36294
2005,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,,U,2021,0.59066
2010,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,,U,2021,0.22779
2015,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,,U,2021,0.02023
2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,,U,2021,0.23168
2005,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,Y_GE65,,2021,1.7197
2010,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,Y_GE65,,2021,1.01645
2015,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,Y_GE65,,2021,0.08076
2021,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,Y_GE65,,2021,0.02267
2005,"Accessed March 26, 2024. Survey name: NSHBCSL. Uses a consumption aggregate, which is not spatially deflated.",788,,Y0T14,,2021,4.43865
