Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2015,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],,,Percent,78.0
2019,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],,,Percent,84.0
2023,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],,,Percent,88.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],,,Percent,84.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],,Rural,Percent,89.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],,Urban,Percent,95.3
2024,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],ZW_BA,,Percent,95.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],ZW_HA,,Percent,95.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],ZW_MA,,Percent,68.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],ZW_MC,,Percent,84.2
2024,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],ZW_ME,,Percent,85.1
2024,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],ZW_MI,,Percent,84.3
2024,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],ZW_MN,,Percent,94.1
2024,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],ZW_MS,,Percent,88.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],ZW_MV,,Percent,86.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of births attended by skilled health personnel [3.1.2],ZW_MW,,Percent,82.2
