Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2017,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,,Percent,21.6
2019,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,,Percent,33.7
2022,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,,Percent,61.936167437294046
2019,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Rural,Percent,7.7
2022,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Rural,Percent,55.65878871101471
2019,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Urban,Percent,83.2
2022,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Urban,Percent,70.79708533995965
2019,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_BA,,Percent,85.6
2022,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_BA,,Percent,94.0933010992187
2019,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_HA,,Percent,87.2
2022,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_HA,,Percent,88.12671475002564
2019,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_MA,,Percent,18.1
2022,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_MA,,Percent,50.54971265075429
2019,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_MC,,Percent,11.3
2022,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_MC,,Percent,51.37132481069131
2019,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_ME,,Percent,19.7
2022,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_ME,,Percent,56.75936229219795
2019,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_MI,,Percent,31.2
2022,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_MI,,Percent,58.30603044542835
2019,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_MN,,Percent,10.1
2022,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_MN,,Percent,42.421770056245066
2019,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_MS,,Percent,20.0
2022,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_MS,,Percent,45.84930713496731
2019,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_MV,,Percent,16.4
2022,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_MV,,Percent,57.15525364300525
2019,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_MW,,Percent,23.9
2022,Normal value,Units,Zimstat_2022_PHC,Proportion of population with primary reliance on clean fuels and technology [7.1.2],ZW_MW,,Percent,60.45453822724261
