Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,_L_KE_171201_01,,Percent,2023,9.0
2016,Normal value,Units,_L_KE_171201_01,,Percent,2023,10.0
2017,Normal value,Units,_L_KE_171201_01,,Percent,2023,9.8
2018,Normal value,Units,_L_KE_171201_01,,Percent,2023,10.6
2019,Normal value,Units,_L_KE_171201_01,,Percent,2023,11.1
2020,Normal value,Units,_L_KE_171201_01,,Percent,2023,10.8
2021,Normal value,Units,_L_KE_171201_01,,Percent,2023,10.0
2022,Normal value,Units,_L_KE_171201_01,,Percent,2023,9.1
2023,Normal value,Units,_L_KE_171201_01,,Percent,2023,11.5
