Year,Observation status,Unit multiplier,Observation-level footnotes,Source details,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2016,Normal value,Units,"A Gini index of 0 represents perfect equality, while an index of 100 implies perfect inequality","2015/16:  Fiscal Incidence, Inequality And Poverty In Kenya Report based on KIHBS",_L_KE_100402_01,,Percent,2016,9.3
2016,Normal value,Units,"A Gini index of 0 represents perfect equality, while an index of 100 implies perfect inequality","2015/16:  Fiscal Incidence, Inequality And Poverty In Kenya Report based on KIHBS",_L_KE_100402_02,,Percent,2016,45.0
2016,Normal value,Units,"A Gini index of 0 represents perfect equality, while an index of 100 implies perfect inequality","2015/16:  Fiscal Incidence, Inequality And Poverty In Kenya Report based on KIHBS",_L_KE_100402_03,,Percent,2016,35.7
