Year,Observation status,Unit multiplier,Observation-level footnotes,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2019,Normal value,Units,Tertiary Education Gross Enrolment Rates (Population Age 18-22 Years),2019:  KPHC,_L_KE_040301_01,,,,Percent,2019,21.9
2019,Normal value,Units,Tertiary Education Gross Enrolment Rates (Population Age 18-22 Years),2019:  KPHC,_L_KE_040301_01,,,Rural,Percent,2019,14.6
2019,Normal value,Units,Tertiary Education Gross Enrolment Rates (Population Age 18-22 Years),2019:  KPHC,_L_KE_040301_01,,,Urban,Percent,2019,20.4
2019,Normal value,Units,Tertiary Education Gross Enrolment Rates (Population Age 18-22 Years),2019:  KPHC,_L_KE_040301_01,,Female,,Percent,2019,23.5
