Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Education level,UNIT_MEASURE,Value
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",ZW_MV,Secondary education (lower and upper secondary education),Percent,45.99
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",ZW_MV,Primary education,Percent,28.26
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",ZW_MW,Primary education or less,Percent,27.13
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",ZW_MW,Secondary education (lower and upper secondary education),Percent,42.35
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",ZW_MW,Primary education,Percent,27.13
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education or less,Percent,74.28
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",,Secondary education (lower and upper secondary education),Percent,78.97
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,74.28
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_BA,Primary education or less,Percent,95.98
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_BA,Secondary education (lower and upper secondary education),Percent,96.96
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_BA,Primary education,Percent,95.98
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_HA,Primary education or less,Percent,98.01
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_HA,Secondary education (lower and upper secondary education),Percent,95.44
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_HA,Primary education,Percent,98.01
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MA,Primary education or less,Percent,81.97
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MA,Secondary education (lower and upper secondary education),Percent,80.67
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MA,Primary education,Percent,81.97
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MC,Primary education or less,Percent,73.29
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MC,Secondary education (lower and upper secondary education),Percent,74.29
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MC,Primary education,Percent,73.29
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_ME,Primary education or less,Percent,76.16
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_ME,Secondary education (lower and upper secondary education),Percent,78.65
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_ME,Primary education,Percent,76.16
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MI,Primary education or less,Percent,65.1
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MI,Secondary education (lower and upper secondary education),Percent,77.42
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MI,Primary education,Percent,65.1
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MN,Primary education or less,Percent,60.06
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MN,Secondary education (lower and upper secondary education),Percent,68.0
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MN,Primary education,Percent,60.06
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MS,Primary education or less,Percent,82.06
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MS,Secondary education (lower and upper secondary education),Percent,83.51
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MS,Primary education,Percent,82.06
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MV,Primary education or less,Percent,62.28
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MV,Secondary education (lower and upper secondary education),Percent,77.78
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MV,Primary education,Percent,62.28
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MW,Primary education or less,Percent,66.35
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MW,Secondary education (lower and upper secondary education),Percent,69.62
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",ZW_MW,Primary education,Percent,66.35
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Primary education or less,Percent,39.99
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Secondary education (lower and upper secondary education),Percent,52.49
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Primary education,Percent,39.99
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_BA,Primary education or less,Percent,57.91
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_BA,Secondary education (lower and upper secondary education),Percent,74.55
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_BA,Primary education,Percent,57.91
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_HA,Primary education or less,Percent,66.21
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_HA,Secondary education (lower and upper secondary education),Percent,73.79
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_HA,Primary education,Percent,66.21
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MA,Primary education or less,Percent,35.03
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MA,Secondary education (lower and upper secondary education),Percent,51.47
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MA,Primary education,Percent,35.03
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MC,Primary education or less,Percent,33.42
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MC,Secondary education (lower and upper secondary education),Percent,41.9
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MC,Primary education,Percent,33.42
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_ME,Primary education or less,Percent,46.06
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_ME,Secondary education (lower and upper secondary education),Percent,45.17
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_ME,Primary education,Percent,46.06
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MI,Primary education or less,Percent,34.1
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MI,Secondary education (lower and upper secondary education),Percent,51.86
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MI,Primary education,Percent,34.1
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MN,Primary education or less,Percent,31.8
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MN,Secondary education (lower and upper secondary education),Percent,48.0
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MN,Primary education,Percent,31.8
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MS,Primary education or less,Percent,54.53
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MS,Secondary education (lower and upper secondary education),Percent,54.12
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MS,Primary education,Percent,54.53
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MV,Primary education or less,Percent,31.47
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MV,Secondary education (lower and upper secondary education),Percent,50.39
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MV,Primary education,Percent,31.47
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MW,Primary education or less,Percent,32.91
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MW,Secondary education (lower and upper secondary education),Percent,50.11
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",ZW_MW,Primary education,Percent,32.91
