Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2020,A,0,DEGURBA tool was used to generate the  gridded population and the updated urban extents. These were data input for computing the ratio of LCR/PGR. The study period was between 2009 and 2020 based on data availability.,Population data and Satellite Imagery i.e. Landsat datasets,EN_LND_CNSPOP,KE_KIS,CITY,PT,2020,3.0
2020,A,0,DEGURBA tool was used to generate the  gridded population and the updated urban extents. These were data input for computing the ratio of LCR/PGR. The study period was between 2009 and 2020 based on data availability.,Population data and Satellite Imagery i.e. Landsat datasets,EN_LND_CNSPOP,KE_MBA,CITY,PT,2020,2.67
2020,A,0,DEGURBA tool was used to generate the  gridded population and the updated urban extents. These were data input for computing the ratio of LCR/PGR. The study period was between 2009 and 2020 based on data availability.,Population data and Satellite Imagery i.e. Landsat datasets,EN_LND_CNSPOP,KE_NBO,CITY,PT,2020,1.33
2020,A,0,DEGURBA tool was used to generate the  gridded population and the updated urban extents. These were data input for computing the ratio of LCR/PGR. The study period was between 2009 and 2020 based on data availability.,Population data and Satellite Imagery i.e. Landsat datasets,EN_LND_CNSPOP,KE_NUU,CITY,PT,2020,3.0
