Year,Observation status,Unit multiplier,Observation-level footnotes,Source details,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2020,Normal value,Units,DEGURBA tool was used to generate the  gridded population and the updated urban extents. These were data input for computing the ratio of LCR/PGR. The study period was between 2009 and 2020 based on data availability.,Population data and Satellite Imagery i.e. Landsat datasets,Ratio of land consumption rate to population growth rate [11.3.1],KE_KIS,City,Percent,2020,3.0
2020,Normal value,Units,DEGURBA tool was used to generate the  gridded population and the updated urban extents. These were data input for computing the ratio of LCR/PGR. The study period was between 2009 and 2020 based on data availability.,Population data and Satellite Imagery i.e. Landsat datasets,Ratio of land consumption rate to population growth rate [11.3.1],KE_MBA,City,Percent,2020,2.67
2020,Normal value,Units,DEGURBA tool was used to generate the  gridded population and the updated urban extents. These were data input for computing the ratio of LCR/PGR. The study period was between 2009 and 2020 based on data availability.,Population data and Satellite Imagery i.e. Landsat datasets,Ratio of land consumption rate to population growth rate [11.3.1],KE_NBO,City,Percent,2020,1.33
2020,Normal value,Units,DEGURBA tool was used to generate the  gridded population and the updated urban extents. These were data input for computing the ratio of LCR/PGR. The study period was between 2009 and 2020 based on data availability.,Population data and Satellite Imagery i.e. Landsat datasets,Ratio of land consumption rate to population growth rate [11.3.1],KE_NUU,City,Percent,2020,3.0
