Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2019,Normal value,Units,Kisumu County,Average share of the built-up area of cities that is open space for public use for all [11.7.1],KE_KIS,City,Percent,2019,67.1
2019,Normal value,Units,Mombasa County,Average share of the built-up area of cities that is open space for public use for all [11.7.1],KE_MBA,City,Percent,2019,9.5
2019,Normal value,Units,Nairobi City County,Average share of the built-up area of cities that is open space for public use for all [11.7.1],KE_NBO,City,Percent,2019,16.4
2019,Normal value,Units,Nakuru Coutny,Average share of the built-up area of cities that is open space for public use for all [11.7.1],KE_NUU,City,Percent,2019,0.1
